#name
39-Dublin30_RBRP

#numVertices
45

#capacity
30

#d/p/q
     0      0      0      0
     1      3      3      3
     2     -1      0      1
     3     -3      0      3
     4     -5      0      5
     5      3      3      3
     6     -4      0      4
     7     -7      0      7
     8     -3      0      3
     9      2      2      2
    10      2      2      2
    11     -7      0      7
    12     -3      0      3
    13     -2      0      2
    14      3      3      3
    15      2      2      2
    16     -4      0      4
    17     -5      0      5
    18     -5      0      5
    19     -6      0      6
    20     -2      0      2
    21      6      6      6
    22      4      4      4
    23      1      1      1
    24      1      1      1
    25      1      1      1
    26      6      6      6
    27      1      1      1
    28     -6      0      6
    29    -11      0     11
    30     -2      0      2
    31     -1      0      1
    32     -3      0      3
    33      2      2      2
    34      1      1      1
    35     -3      0      3
    36     -3      0      3
    37      2      2      2
    38      1      1      1
    39     -4      0      4
    40     -1      0      1
    41     -6      0      6
    42     -5      0      5
    43      1      1      1
    44     -4      0      4

#distances
            0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44 
     0      0   3030   3504   3394   3127   2890   3069   3362   1548   2858   2852   2624   3785   1913   2689   3325   1899   3074   3071   1883   1612   2834   1572   1817   2602   1189   1593   2523   2800   3241   3009   3153   1159   2253   2940   4083   2597   3144   2187   2148   3647   2414   3822   3216   3164 
     1   3271      0   2902   2396   1494   1706   1156   1729   2250    681    938   2264   3184   1909   1310   2723   2155    451   1257   2239   1968   2129   1737   1806   2033   2258   1767   1706   2725   1608   2408   2368   2403   1683   1809   2450   1183    634   2165   2134   2014   1728   2189   1840   3340 
     2   3880   3064      0    829   1962   4353   2225   1864   2477   2999   2277   4734    324   4036   2800    600   2382   2677   3465   4332   4062   3101   2561   2435   1640   3723   3459   3426   1191   2076   1492   1080   3024   2190   4024   2139   3839   3290   2133   4578   2434   4198   1444   3745   1049 
     3   3891   2375    742      0   1225   3616   1488   1127   2705   2262   1588   3997   1024   3828   2112    739   2610   1940   2728   4159   3887   2898   2358   2261   1889   3520   3333   3223   1514   1339    872    460   3024   2139   3287   1310   3102   2553   2382   3866   1745   3461    615   3008   1450 
     4   3534   2018   1389    647      0   3259   1130    769   2348   1904   1231   3639   1671   3470   1755   1386   2253   1582   2370   3802   3529   2541   2000   1904   2131   3162   2976   2866   2161    982   1519   1107   2666   1782   2929   1391   2744   2195   2263   3508   1387   3103    695   2650   2097 
     5   2606   2123   3842   3100   2453      0   2118   2688   3493   1680   1938   1368   4124   1210   2309   3839   3398   1497    628   1354   1299   2288   2936   3048   3275   1545   1724   1865   3967   2567   3650   3327   2522   2926    356   3409   1342   1769   3407   1201   2973    951   3148    631   4550 
     6   2850   1027   1981   1239    592   2172      0    827   1830    819    240   2731   2263   2598    763   1978   1735    497   1498   2928   2657   1857   1316   1386   1613   2478   2292   2182   2305    707   1878   1466   1982   1263   2055   1548   1872   1323   1745   2600   1112   2195   1287   1778   2689 
     7   3211   1388   2084   1342    695   2488    361      0   2176   1135    601   2870   2366   2701   1124   2081   2081    813   1601   3031   2760   2218   1677   1732   1959   2839   2559   2498   2623    810   1981   1569   2343   1610   2158   1651   1975   1426   2091   2739   1215   2334   1390   1881   2792 
     8   1540   1854   2295   2186   1951   3264   1893   2186      0   1682   1675   2714   2577   2004   1513   2116    351   2243   2855   2300   2030   1658   1117    641   1426   1732   1428   1983   1624   2065   1801   1944    993   1077   3366   2907   2688   2488   1011   2546   2470   2836   2646   3484   2239 
     9   3536    443   3167   2660   1759   1971   1421   1994   2515      0   1204   2530   3430   2174   1576   2988   2420    716   1522   2504   2233   2394   2002   2071   2298   2523   2032   1971   2990   1873   2673   2633   2668   1949   2074   2715   1448    900   2430   2400   2279   1994   2454   2105   3605 
    10   2633    810   2221   1479    832   2391    240   1067   1612    634      0   2950   2503   2586    546   2085   1517    716   1738   2916   2646   1640   1099   1168   1395   2261   2074   1965   2087    947   1770   1706   1765   1046   2295   1788   1993   1444   1527   2819   1352   2414   1527   2018   2702 
    11   2621   2242   3961   3219   2572    763   2237   2807   3354   1799   2057      0   4243   1098   2429   3958   3259   1616    747   1307   1186   1659   2665   2910   3394   1432   1297   1236   3737   2686   3769   3446   2095   3045    866   3528    713   1857   3123    608   3092    203   3267   1032   4352 
    12   3770   2974    324   1110   2243   4424   2506   2145   2519   2801   2472   4435      0   3725   2632    723   2424   2958   3746   4086   3815   2777   2237   2111   1316   3399   3212   3102   1233   2358   1774   1362   2903   1866   4303   2420   4120   3571   1809   4266   2629   4446   1725   4026   1091 
    13   2065   2202   3921   3179   2532   1259   2197   2767   2955   1759   2017    710   4203      0   2563   3918   2860   1576   1242    900    629   1630   2266   2511   3296    876   1054   1207   3494   2646   3704   3405   1852   2946   1362   3487    684   1828   2880    542   3051    837   3227   1527   4109 
    14   2430    607   2062   1759   1112   1931    520   1347   1410    309    303   2490   2343   2383      0   1883   1315    871   1482   2713   2443   1437    896    966   1193   2058   1872   1762   1885   1227   1568   1711   1562    843   2034   2068   1674   1125   1325   2359   1452   1954   1807   2111   2500 
    15   3756   2536    430    718   1943   4140   1989   1844   2353   2383   1749   4622    723   3912   2272      0   2258   2465   3445   4208   3938   3059   2519   2548   1759   3621   3335   3384   1067   2057   1381    969   2900   2300   4002   2028   3719   3170   2012   4454   1906   4163   1333   3725    925 
    16   1783   1503   1944   1835   1600   2953   1542   1835    734   1331   1325   2636   2226   1926   1162   1765      0   1893   2504   2222   1952   1307    766    290   1075   1860   1350   1632   1273   1714   1450   1593    916    726   3056   2556   2610   2137    660   2468   2120   2758   2295   3133   1888 
